#Home,W/L,Points,Visitor,Points,Diff
WKW,W,568.0,TR,25.0,543.0
WKW,W,432.0,RSST,204.0,228.0
WKW,W,388.5,CH,252.5,136.0
WKW,W,352.0,HC,290.0,62.0
HC,W,550.0,TR,35.0,515.0
HC,W,404.0,RSST,235.0,169.0
HC,W,375.0,CH,265.0,110.0
HC,L,290.0,WKW,352.0,-62.0
CH,W,570.0,TR,32.0,538.0
CH,W,358.0,RSST,280.0,78.0
CH,L,265.0,HC,375.0,-110.0
CH,L,252.5,WKW,388.5,-136.0
RSST,W,521.0,TR,31.0,490.0
RSST,L,280.0,CH,358.0,-78.0
RSST,L,235.0,HC,404.0,-169.0
RSST,L,204.0,WKW,432.0,-228.0
TR,L,31.0,RSST,521.0,-490.0
TR,L,35.0,HC,550.0,-515.0
TR,L,25.0,WKW,568.0,-543.0
TR,L,32.0,CH,570.0,-538.0
